	BacteriaSSU	CyanobacteriaSSU	RickettsialesSSU
NODE_55247_length_872_cov_3.022032	2	0	0
NODE_261741_length_265_cov_1.357143	1	0	0
NODE_390_length_31744_cov_42.934457	2	0	0
NODE_7399_length_3706_cov_2.952890	2	0	0
NODE_6317_length_4157_cov_48.146270	2	0	0
NODE_346448_length_161_cov_92.820755	2	0	0
NODE_17302_length_2035_cov_2.769192	1	1	0
NODE_266533_length_262_cov_1.376812	2	0	0
NODE_101576_length_563_cov_2.244094	1	1	0
NODE_125707_length_482_cov_208.063232	4	0	0
NODE_8803_length_3291_cov_6.064895	2	0	0
NODE_232283_length_295_cov_1.187500	1	0	0
NODE_205979_length_331_cov_7.782609	2	0	0
NODE_347481_length_83_cov_1.714286	4	0	0
NODE_57344_length_845_cov_2.740506	1	0	0
NODE_318715_length_226_cov_1.111111	4	0	0
NODE_131529_length_467_cov_75.303398	2	0	0
NODE_46757_length_983_cov_3.136853	2	0	0
NODE_229055_length_299_cov_2.024590	2	0	0
NODE_113390_length_519_cov_64.971983	2	0	0
NODE_125340_length_484_cov_3.948718	1	0	0
NODE_94328_length_593_cov_1.671004	1	0	0
NODE_3163_length_6638_cov_39.191250	4	0	0
NODE_228697_length_300_cov_5.902041	1	0	0
NODE_218350_length_314_cov_1.467181	1	0	0
NODE_348658_length_60_cov_34.800000	4	0	0
NODE_44_length_150597_cov_67.226269	4	0	0
NODE_249211_length_275_cov_1.731818	1	0	0
NODE_347858_length_65_cov_219.100000	2	0	0
NODE_26001_length_1499_cov_17.078947	2	2	0
NODE_114025_length_517_cov_2.658009	2	0	0
NODE_129038_length_474_cov_2.033413	2	0	0
NODE_346718_length_146_cov_49.329670	4	0	0
NODE_291013_length_245_cov_1.500000	2	0	0
NODE_260_length_45661_cov_51.188440	2	0	0
NODE_120164_length_499_cov_2.078829	4	0	0
NODE_26323_length_1499_cov_19.954294	2	2	0
NODE_224227_length_306_cov_4.334661	2	0	0
NODE_254625_length_271_cov_1.319444	2	0	0
NODE_346291_length_181_cov_1.730159	2	0	0
NODE_193532_length_349_cov_1.363946	2	0	0
NODE_202958_length_335_cov_2.142857	1	0	0
NODE_88040_length_623_cov_14.406690	4	0	0
NODE_261844_length_265_cov_1.357143	2	0	0
NODE_175917_length_376_cov_197.199377	2	0	0
NODE_192711_length_350_cov_9.966102	2	0	0
NODE_70367_length_730_cov_66.640000	2	0	0
NODE_206327_length_330_cov_5.000000	4	0	4
NODE_330314_length_218_cov_1.165644	2	0	0
NODE_343745_length_207_cov_1.875000	2	0	0
NODE_211030_length_324_cov_1.765799	3	0	0
NODE_58157_length_840_cov_2.383439	1	0	0
NODE_132299_length_466_cov_3.267640	2	0	0
NODE_348033_length_91_cov_14.333333	2	0	0
NODE_347999_length_63_cov_72.500000	4	0	0
NODE_347987_length_60_cov_5.000000	1	0	0
NODE_112226_length_523_cov_4.222222	2	0	0
NODE_284562_length_249_cov_6.824742	2	0	0
NODE_132151_length_465_cov_4.919512	2	0	0
NODE_71334_length_725_cov_6.476119	2	0	0
NODE_281767_length_251_cov_5.811224	2	0	0
NODE_30763_length_1328_cov_25.857816	4	0	0
NODE_5172_length_4734_cov_3.006412	1	0	0
NODE_324362_length_222_cov_1.149701	1	0	0
NODE_254213_length_271_cov_1.319444	1	0	0
NODE_348003_length_63_cov_11.375000	1	0	0
NODE_66591_length_762_cov_3.574257	2	0	0
NODE_42305_length_1056_cov_3.452547	2	0	0
NODE_346938_length_179_cov_7.129032	1	0	0
NODE_11671_length_2707_cov_80.484917	4	0	0
NODE_151020_length_422_cov_32.588556	4	0	0
NODE_347912_length_101_cov_55.608696	4	0	0
NODE_78400_length_677_cov_2.831190	2	0	0
NODE_232575_length_294_cov_7.535565	2	0	0
NODE_348660_length_60_cov_24.000000	1	0	0
NODE_140620_length_445_cov_3.161538	2	0	0
NODE_110133_length_531_cov_145.621849	2	0	0
NODE_347799_length_110_cov_143.654545	2	0	0
NODE_225693_length_304_cov_46.232932	2	0	0
NODE_322503_length_223_cov_17.446429	1	0	0
NODE_347895_length_63_cov_12.000000	2	0	0
NODE_88171_length_623_cov_1.577465	2	0	0
NODE_234780_length_291_cov_7.953390	1	0	0
NODE_23286_length_1619_cov_4.034527	1	0	0
NODE_347361_length_91_cov_18.944444	2	0	0
NODE_346915_length_181_cov_2.634921	2	0	0
NODE_217967_length_314_cov_1.467181	2	0	0
NODE_348587_length_63_cov_20.125000	1	0	0
NODE_11541_length_2722_cov_3.235096	1	0	0
NODE_347462_length_91_cov_14.333333	2	0	0
NODE_215484_length_318_cov_16.125475	4	0	0
NODE_40_length_141433_cov_65.597929	2	0	0
